"SGI 2022 Values", Sustainable Policies, Inflation, Gross Fixed Capital Formation, Real Interest Rates, Potential Output Growth Rate, Real GDP Growth Rate, Unemployment, Long-term Unemployment, Youth Unemployment, Low-skilled Unemployment, Employment, Low Pay Incidence, Employment Rates by Gender, Involuntary Part-time Employment, Tax System Complexity, Structural Balance, Statutory Corporate Tax Rate, Redistribution Effect, Statutory Maximum Personal Income Tax Rate, Debt to GDP, Primary Balance, Gross Interest Payments by General Govt, Budget Consolidation, Debt per Child, External Debt to GDP, Public R&D Spending, Private R&D Spending, Total Researchers, Intellectual Property Licenses, PCT Patent Applications, Quality of Overall Infrastructure, Tier 1 Capital Ratio, Banks' Nonperforming Loans, Financial Secrecy Score, External Debt to Exports, Upper Secondary Attainment, Tertiary Attainment, PISA results, PISA Results According to Socioeconomic Background, Pre-primary Education Expenditure, PISA Low Achievers in all Subjects, Less Than Upper Secondary Education by Gender, Poverty Rate, NEET Rate, Gini Coefficient, Gender Equality in Parliaments, Life Satisfaction, Gender Wage Gap, Spending on Preventive Health Programs, Healthy Life Expectancy, Infant Mortality, Perceived Health Status, Household Out Of Pocket Expenses, Physicians per 1000 Inhabitants," Child Care Enrolment, Age 0-2"," Child Care Enrolment, Age 3-5", Fertility Rate, Child Poverty Rate, Female Labor Force Participation Rate, Older Employment, Old Age Dependency Ratio, Senior Citizen Poverty, FB-N Upper Secondary Attainment, FB-N Tertiary Attainment, FB-N Unemployment, FB-N Employment, Homicides, Personal Security, Confidence in Police, ODA, Energy Productivity, Gross Greenhouse Gas Emissions, Particulate Matter, Biocapacity, Waste Generation, Material Recycling, Biodiversity, Renewable Energy, Material Footprint, Multilateral Environmental Agreements, Net Greenhouse Gas Emissions
Australia,5.7307037526299,2.82,22.94,-3.87,4.01,4.69,5.26,1.03,11.27,7.58,74.97,15.46,0.9,29.53,85.67,-7.68,30.0,28.41,47.0,59.81,-6.66,0.49,1,174.38,0.19,0.78,1.47,9.03,0.32,72.89,4.91,13.88,0.91,56.15,4.17,83.76,49.34,498.99,3.86,0.22,11.22,1.01,12.4,15.88,32.5,30.46,7.16,12.27,1.99,71,3.1,0.9,28.5,3.9,39.8,84.2,1.58,13.3,0.9,65.38,25.71,23.7,1.08,1.46,1.17,0.95,0.87,83,6.05,0.22,0.23,20.54,0.0,11.47,498.82,24.57,15.45,10.13,46.82,0.83,18.98
Austria,6.33755362052529,2.75,27.57,-1.83,5.64,4.48,6.3,1.95,11.0,13.6,72.4,14.74,0.89,9.2,83.5,-4.94,25.0,43.62,50.0,83.06,-4.98,1.11,1,345.21,0.54,1.06,2.14,12.38,1.02,179.17,5.04,16.14,1.53,54.63,2.74,85.9,34.6,491.04,5.21,0.36,13.51,1.4,9.1,9.7,26.7,39.34,7.16,13.33,3.58,71,3.0,0.75,15.43,5.45,21.1,87.4,1.44,12.4,0.89,55.4,29.49,8.2,0.85,0.97,2.43,0.91,0.72,91,6.16,0.31,0.35,8.27,13.44,2.68,588.0,26.19,17.0,33.77,24.62,0.77,8.13
Belgium,6.01682622731139,3.22,26.32,-4.23,8.49,6.28,6.3,2.65,18.2,12.9,65.3,11.5,0.9,21.4,78.38,-5.8,25.0,46.42,53.07,108.25,-4.67,1.66,1,369.2,0.64,0.56,2.6,14.12,1.21,112.9,4.91,18.81,2.03,52.53,2.88,81.5,44.9,499.9,7.85,0.68,12.49,0.89,6.3,11.2,23.9,41.33,6.8,3.8,2.09,71,3.4,0.65,16.45,3.21,54.6,96.9,1.55,6.6,0.89,54.5,30.84,8.0,0.82,0.85,2.13,0.89,1.69,80,5.56,0.46,0.26,9.24,9.79,0.76,416.0,35.34,15.43,10.21,33.45,0.93,9.21
Bulgaria,5.26911300925681,2.84,19.56,-5.68,12.08,4.18,5.3,2.6,15.8,15.6,68.1,20.42,0.89,49.0,72.32,-2.24,10.0,23.14,10.0,23.83,-2.87,0.5,1,42.5,0.12,0.2,0.63,5.59,0.84,7.8,3.82,21.79,5.08,52.78,0.92,83.4,29.6,426.65,5.81,0.92,31.94,0.98,14.6,18.8,39.7,26.67,5.37,2.55,2.83,66,5.1,0.61,35.63,4.22,15.0,93.5,1.56,17.9,0.89,64.8,34.21,20.5,1.17,1.66,1.3,0.83,0.99,77,3.86,0.12,0.21,7.08,82.75,3.28,407.0,29.73,17.0,19.34,15.02,0.93,5.69
Canada,6.52822133519618,3.4,23.69,-6.3,11.01,4.56,7.44,1.22,13.5,12.31,73.23,20.68,0.92,23.72,88.05,-3.62,26.21,28.5,53.53,112.06,-5.3,2.67,1,376.9,0.26,0.56,1.14,8.8,0.52,83.94,4.98,15.09,0.02,51.15,4.24,92.44,59.96,516.7,2.1,0.66,6.37,0.7,11.6,14.04,30.1,28.99,7.03,16.11,5.89,71,4.4,0.87,12.6,2.77,24.2,45.9,1.4,11.4,0.91,62.66,28.25,12.3,1.01,1.08,1.19,0.97,1.97,86,5.75,0.32,0.14,17.68,0.03,14.74,423.62,19.54,10.74,22.11,35.05,0.68,17.5
Chile,5.63684187069922,4.52,25.27,-3.06,10.58,11.69,9.1,2.39,19.96,6.33,58.47,11.81,0.72,31.42,75.28,-11.83,10.0,7.07,40.0,36.28,-6.9,0.89,1,52.31,0.14,0.15,0.19,1.14,0.03,11.53,4.56,10.7,1.23,59.78,2.63,67.45,25.17,437.75,4.04,0.74,23.47,0.99,16.5,21.79,46.0,22.58,6.17,8.6,1.21,70,5.8,0.75,29.0,5.18,22.5,79.0,1.61,21.5,0.72,57.36,18.6,17.6,1.1,1.45,1.12,1.22,4.84,66,5.67,0.0,0.27,5.99,87.27,3.34,436.62,0.45,10.39,25.26,13.5,0.8,2.58
Croatia,5.54234584944602,2.61,20.22,-2.71,8.4,10.45,7.6,2.81,21.9,10.2,63.4,18.33,0.86,35.0,81.85,-3.72,18.0,39.45,35.4,80.86,-2.38,2.13,1,186.9,0.26,0.46,0.79,5.59,0.3,7.3,4.36,25.18,6.3,53.13,1.42,87.2,24.9,471.85,2.45,0.56,14.06,1.24,12.5,16.8,28.3,31.13,6.13,12.45,3.07,69,3.9,0.5,10.45,3.51,20.4,54.4,1.48,11.5,0.87,48.6,33.92,20.8,0.91,0.89,0.92,1.02,0.97,85,4.27,0.15,0.33,5.85,65.34,2.83,418.0,28.71,17.0,31.6,17.06,0.92,4.55
Cyprus,5.04192967425813,2.25,16.89,-1.97,6.97,5.51,7.7,2.55,17.1,8.1,70.8,16.54,0.85,46.1,85.48,-1.37,12.5,38.21,35.0,103.93,-0.01,2.2,1,291.7,0.88,0.25,0.46,3.74,2.44,6.7,4.12,19.32,9.0,61.53,9.74,84.6,47.0,438.02,1.88,0.28,25.67,0.87,7.3,16.8,29.3,19.64,6.22,15.87,1.65,72,2.3,0.71,14.01,4.3,20.7,76.3,1.31,9.0,0.86,63.4,21.43,9.1,0.92,0.85,1.43,1.0,1.24,80,4.84,0.06,0.37,9.99,56.46,0.21,609.0,15.27,17.0,12.05,36.58,0.79,9.6
Czechia,5.77918682656376,3.84,30.1,-2.21,6.03,3.26,2.9,0.79,8.2,11.7,74.4,17.77,0.83,17.6,81.35,-6.21,19.0,42.59,23.0,41.85,-5.43,0.74,1,114.16,0.11,0.68,1.31,8.69,0.5,20.16,4.16,20.78,1.76,50.0,0.99,94.4,26.4,495.49,7.4,0.55,10.52,1.33,4.4,9.3,24.2,22.5,6.92,12.37,3.75,69,2.3,0.48,11.53,4.1,4.8,78.2,1.71,6.2,0.84,69.8,32.06,4.8,0.94,1.41,1.14,1.08,0.72,86,4.99,0.13,0.24,10.55,63.0,2.33,507.0,21.7,17.0,15.85,21.3,0.92,11.74
Denmark,7.86528919534318,1.94,23.18,-2.56,4.5,4.13,5.1,0.97,10.8,6.8,75.5,8.73,0.93,9.3,91.14,-0.92,22.0,40.63,55.9,37.31,-0.5,0.54,1,146.86,0.1,0.84,2.09,16.18,2.73,245.91,5.41,20.32,1.25,48.95,2.45,82.1,41.9,501.06,3.75,0.45,8.14,0.8,6.9,9.6,27.0,39.66,7.64,5.06,8.83,71,3.1,0.79,12.38,4.25,67.7,36.6,1.67,6.1,0.93,72.3,32.1,2.6,0.89,0.99,1.77,0.91,0.95,89,5.85,0.7,0.5,7.46,0.0,3.62,845.0,35.5,14.41,37.52,25.86,0.96,8.0
